iata,icao,name,country,municipality,lat,lon,elevation
AAA,NTGA,Anaa Airport,PF,Anaa,-17.3526,-145.509995,10
AAC,HEAR,El Arish International Airport,EG,El Arish,31.055324,33.827964,118
AAE,DABB,Annaba Rabah Bitat Airport,DZ,Annaba,36.826781,7.81334,16
AAK,NGUK,Aranuka Airport,KI,Buariki,0.185278,173.636993,6
AAL,EKYT,Aalborg Airport,DK,Aalborg,57.094763,9.84993,10
AAM,FAMD,Malamala Airport,ZA,Malamala,-24.816866,31.544085,1124
AAN,OMAL,Al Ain International Airport,AE,Al Ain,24.2617,55.6092,869
AAO,SVAN,Anaco Airport,VE,Anaco,9.430225,-64.470726,721
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,ID,Samarinda,-0.374478,117.250128,82
AAQ,URKA,Anapa Vityazevo Airport,RU,Krasnyi Kurgan,45.002102,37.347301,174
AAR,EKAH,Aarhus Airport,DK,Aarhus,56.303331,10.618286,82
AAT,ZWAT,Altay Xuedu Airport,CN,Altay,47.749886,88.085808,2460
AAV,RPMA,Allah Valley Airport,PH,Surallah,6.367903,124.752431,659
AAX,SBAX,Romeu Zema Airport,BR,Araxá,-19.5632,-46.9604,3276
AAY,OYGD,Al Ghaydah International Airport,YE,Al Ghaydah,16.193341,52.174186,134
AAZ,MGQZ,Quezaltenango Airport,GT,Quezaltenango,14.8656,-91.501999,7779
ABA,UNAA,Abakan International Airport,RU,Abakan,53.740002,91.385002,831
ABB,DNAS,Asaba International Airport,NG,Asaba,6.204167,6.665278,305
ABC,LEAB,Albacete Airport / Los Llanos Air Base,ES,Albacete,38.948502,-1.86352,2302
ABD,OIAA,Abadan Ayatollah Jami International Airport,IR,Abadan,30.367887,48.230075,10
ABE,KABE,Lehigh Valley International Airport,US,Allentown/Bethlehem,40.651773,-75.442797,393
ABI,KABI,Abilene Regional Airport,US,Abilene,32.4113006592,-99.68190002440001,1791
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,CI,Abidjan,5.26139,-3.92629,21
ABK,HAKD,Kebri Dahar Airport,ET,Kebri Dahar,6.732577,44.241339,1800
ABL,PAFM,Ambler Airport,US,Ambler,67.105529,-157.855339,334
ABM,YNPE,Northern Peninsula Airport,AU,Bamaga,-10.946194,142.455081,34
ABQ,KABQ,Albuquerque International Sunport,US,Albuquerque,35.039976,-106.608925,5355
ABR,KABR,Aberdeen Regional Airport,US,Aberdeen,45.449100494384766,-98.42179870605469,1302
ABS,HEBL,Abu Simbel Airport,EG,Abu Simbel,22.375924,31.611734,614
ABT,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,SA,Al-Baha,20.298506,41.636153,5486
ABU,WATA,AA Bere Tallo (Haliwen) Airport,ID,Atambua,-9.074841,124.903285,1027
ABV,DNAA,Nnamdi Azikiwe International Airport,NG,Abuja,9.00679,7.26317,1123
ABX,YMAY,Albury Airport,AU,East Albury,-36.066758,146.959148,539
ABY,KABY,Southwest Georgia Regional Airport,US,Albany,31.532946,-84.196215,197
ABZ,EGPD,Aberdeen International Airport,GB,Aberdeen,57.2019,-2.19778,215
ACA,MMAA,General Juan N. Álvarez International Airport,MX,Acapulco,16.757126,-99.753113,16
ACC,DGAA,Kotoka International Airport,GH,Accra,5.605189800262451,-0.16678600013256073,205
ACE,GCRR,César Manrique-Lanzarote Airport,ES,San Bartolomé,28.945499,-13.6052,46
ACF,ZWAL,Aral Tarim Airport,CN,Aral,40.434748,81.26206,
ACH,LSZR,Sankt Gallen Altenrhein Airport,CH,St. Gallen,47.485001,9.56077,1306
ACI,EGJA,Alderney Airport,GG,Saint Anne,49.706104,-2.21472,290
ACJ,VCCA,Anuradhapura Airport,LK,Anuradhapura,8.301542,80.42848,324
ACK,KACK,Nantucket Memorial Airport,US,Nantucket,41.25310135,-70.06020355,47
ACN,MMCC,Ciudad Acuña International Airport,MX,Ciudad Acuña,29.333662,-101.100555,1410
ACS,UNKS,Achinsk Airport,RU,Achinsk,56.269185,90.57511,1033
ACT,KACT,Waco Regional Airport,US,Waco,31.611299514770508,-97.23049926757812,516
ACV,KACV,California Redwood Coast-Humboldt County Airport,US,Arcata/Eureka,40.978101,-124.109,221
ACX,ZUYI,Xingyi Wanfenglin Airport,CN,Xingyi,25.083423,104.960804,4150
ACY,KACY,Atlantic City International Airport,US,Atlantic City,39.456201,-74.577511,75
ACZ,OIZB,Zabol Airport,IR,Zabol,31.098301,61.5439,1628
ADB,LTBJ,Adnan Menderes International Airport,TR,Gaziemir,38.2924,27.157,412
ADD,HAAB,Addis Ababa Bole International Airport,ET,Addis Ababa,8.97789,38.799301,7630
ADE,OYAA,Aden International Airport,YE,Aden,12.829564,45.029976,7
ADF,LTCP,Adıyaman Airport,TR,Adıyaman,37.7314,38.468899,2216
ADI,FYAR,Arandis Airport,NA,Arandis,-22.461875,14.979322,1905
ADJ,OJAM,Marka International (Amman Civil) Airport,JO,Amman,31.9727,35.9916,2555
ADK,PADK,Adak Airport,US,Adak,51.883564,-176.642783,18
ADL,YPAD,Adelaide International Airport,AU,Adelaide,-34.947512,138.533393,20
ADP,VCCG,Ampara Airport,LK,Ampara,7.336745,81.623869,150
ADQ,PADQ,Kodiak Airport,US,Kodiak,57.75,-152.4940033,78
ADT,KADH,Ada Regional Airport,US,Ada,34.805214,-96.671988,1016
ADU,OITL,Ardabil Airport,IR,Ardabil,38.3256988525,48.4244003296,4315
ADW,KADW,Joint Base Andrews,US,Camp Springs,38.810799,-76.866997,280
ADX,EGQL,Leuchars Station Airfield,GB,"Leuchars, Fife",56.37398,-2.868862,38
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,CO,San Andrés,12.5836,-81.7112,19
AEB,ZGBS,Baise (Bose) Bama Airport,CN,Baise (Tianyang),23.7206,106.959999,490
AEG,WIME,Aek Godang Airport,ID,Padang Sidempuan,1.4001,99.430496,922
AEH,FTTC,Abeche Airport,TD,Abeche,13.847,20.844299,1788
AEP,SABE,Aeroparque Jorge Newbery,AR,Buenos Aires,-34.559419,-58.415536,18
AER,URSS,Sochi International Airport,RU,Sochi,43.449902,39.9566,89
AES,ENAL,Ålesund Airport,NO,Ålesund,62.560443,6.110845,69
AET,PFAL,Allakaket Airport,US,Allakaket,66.551804,-152.621994,441
AEU,OIBA,Abu Musa Island Airport,IR,Abu Musa,25.8757,55.033001,23
AEX,KAEX,Alexandria International Airport,US,Alexandria,31.325828,-92.546702,89
AEY,BIAR,Akureyri International Airport,IS,Akureyri,65.656573,-18.072018,6
AFA,SAMR,Suboficial Ay Santiago Germano Airport,AR,San Rafael,-34.588299,-68.4039,2470
AFL,SBAT,Piloto Osvaldo Marques Dias Airport,BR,Alta Floresta,-9.866389,-56.106298,948
AFW,KAFW,Perot Field/Fort Worth Alliance Airport,US,Fort Worth,32.99044,-97.31947,722
AFY,LTAH,Afyon Air Base,TR,Afyonkarahisar,38.726398,30.601101,3310
AFZ,OIMS,Sabzevar National Airport,IR,Sabzevar,36.16809844970703,57.59519958496094,3010
AGA,GMAD,Al Massira Airport,MA,Agadir (Temsia),30.322478,-9.412003,250
AGB,EDMA,Augsburg Airport,DE,Augsburg,48.425278,10.931667,1516
AGC,KAGC,Allegheny County Airport,US,Pittsburgh,40.354401,-79.930199,1252
AGE,EDWG,Wangerooge Airport,DE,Wangerooge,53.782544,7.919584,7
AGF,LFBA,Agen La Garenne airport,FR,Agen,44.174171,0.59309,204
AGH,ESTA,Ängelholm-Helsingborg Airport,SE,Ängelholm,56.29610061645508,12.847100257873535,68
AGI,SMWA,Wageningen Airstrip,SR,Wageningen,5.841252,-56.673247,6
AGJ,RORA,Aguni Airport,JP,Aguni,26.592755,127.240335,38
AGP,LEMG,Málaga-Costa del Sol Airport,ES,Málaga,36.6749,-4.49911,53
AGR,VIAG,Agra Airport / Agra Air Force Station,IN,Agra,27.157975,77.961025,551
AGS,KAGS,Augusta Regional At Bush Field,US,Augusta,33.3699,-81.9645,144
AGT,SGES,Guaraní International Airport,PY,Ciudad del Este,-25.457186,-54.839544,846
AGU,MMAS,Aguascalientes International Airport,MX,Aguascalientes,21.699589,-102.318372,6112
AGV,SVAC,Oswaldo Guevara Mujica Airport,VE,Acarigua,9.553375,-69.237869,640
AGX,VOAT,Agatti Airport,IN,Agatti,10.8237,72.176003,14
AGZ,FAAG,Aggeneys Airport,ZA,Aggeneys,-29.281799,18.8139,2648
AHA,VEAP,Maa Mahamaya Airport,IN,Ambikapur,22.98753,83.19612,1930
AHB,OEAB,Abha International Airport,SA,Abha,18.2404,42.656601,6858
AHE,NTHE,Ahe Airport,PF,Ahe Atoll,-14.428099632263184,-146.2570037841797,11
AHJ,ZUHY,Hongyuan Airport,CN,Ngawa (Hongyuan),32.53154,102.35224,11600
AHN,KAHN,Athens Ben Epps Airport,US,Athens,33.948842,-83.325634,808
AHO,LIEA,Alghero-Fertilia Airport,IT,Alghero,40.632099,8.29077,87
AHU,GMTA,Cherif Al Idrissi Airport,MA,Al Hoceima,35.177101,-3.83952,95
AIA,KAIA,Alliance Municipal Airport,US,Alliance,42.052543,-102.803965,3931
AIN,PAWI,Wainwright Airport,US,Wainwright,70.638,-159.994995,41
AIP,VIAX,Adampur Airport,IN,Adampur,31.4338,75.758797,775
AIT,NCAI,Aitutaki Airport,CK,Aitutaki,-18.8309,-159.764008,14
AIU,NCAT,Enua Airport,CK,Atiu Island,-19.96780014038086,-158.11900329589844,36
AJA,LFKJ,Ajaccio Napoléon Bonaparte airport,FR,Ajaccio,41.923599,8.80292,18
AJF,OESK,Al-Jawf International Airport,SA,Al-Jawf,29.783301,40.100905,2261
AJI,LTCO,Ağrı Airport,TR,Ağrı,39.655642,43.025742,5462
AJL,VELP,Lengpui Airport,IN,Aizawl (Lengpui),23.840599,92.619698,1398
AJN,FMCV,Ouani Airport,KM,Ouani,-12.131047,44.430044,62
AJR,ESNX,Arvidsjaur Airport,SE,Arvidsjaur,65.59030151367188,19.28190040588379,1245
AJU,SBAR,Aracaju - Santa Maria Airport,BR,Aracaju,-10.98394,-37.072873,23
AJY,DRZA,Mano Dayak International Airport,NE,Agadez,16.966,8.00011,1657
AKA,ZLAK,Ankang Fuqiang Airport,CN,Ankang (Hanbin),32.75696,108.87338,1209
AKB,PAAK,Atka Airport,US,Atka,52.220299,-174.205994,57
AKC,KAKR,Akron Fulton International Airport,US,Akron,41.037355,-81.46784,1067
AKD,VAAK,Akola Airport,IN,Akola,20.698931,77.056883,999
AKF,HLKF,Kufra Airport,LY,Kufra,24.178699493408203,23.31399917602539,1367
AKH,OEPS,Prince Sultan Air Base,SA,Al Kharj,24.0627,47.580502,1651
AKI,PFAK,Akiak Airport,US,Akiak,60.902646,-161.23106,30
AKJ,RJEC,Asahikawa Airport,JP,Higashikagura,43.670799,142.447006,721
AKK,PAKH,Akhiok Airport,US,Akhiok,56.938702,-154.182999,44
AKL,NZAA,Auckland International Airport,NZ,Auckland,-37.01199,174.786331,23
AKN,PAKN,King Salmon Airport,US,King Salmon,58.677845,-156.651965,73
AKP,PAKP,Anaktuvuk Pass Airport,US,Anaktuvuk Pass,68.133598,-151.742996,2102
AKR,DNAK,Akure Airport,NG,Akure,7.246739864349365,5.3010101318359375,1100
AKS,AGGA,Gwaunaru'u Airport,SB,Auki,-8.70257,160.682007,5
AKT,LCRA,RAF Akrotiri,CY,Akrotiri,34.590401,32.9879,76
