code,name,pinyin
AD,安道尔,an dao er
AE,阿拉伯联合酋长国,a la bo lian he qiu zhang guo
AF,阿富汗,a fu han
AG,安提瓜和巴布达,an ti gua he ba bu da
AI,安圭拉,an gui la
AL,阿尔巴尼亚,a er ba ni ya
AM,亚美尼亚,ya mei ni ya
AO,安哥拉,an ge la
AQ,南极洲,nan ji zhou
AR,阿根廷,a gen ting
AS,美属萨摩亚,mei shu sa mo ya
AT,奥地利,ao di li
AU,澳大利亚,ao da li ya
AW,阿鲁巴,a lu ba
AX,奥兰群岛,ao lan qun dao
AZ,阿塞拜疆,a sai bai jiang
BA,波斯尼亚和黑塞哥维那,bo si ni ya he hei sai ge wei na
BB,巴巴多斯,ba ba duo si
BD,孟加拉国,meng jia la guo
BE,比利时,bi li shi
BF,布基纳法索,bu ji na fa suo
BG,保加利亚,bao jia li ya
BH,巴林,ba lin
BI,布隆迪,bu long di
BJ,贝宁,bei ning
BL,圣巴泰勒米,sheng ba tai le mi
BM,百慕大,bai mu da
BN,文莱,wen lai
BO,玻利维亚,bo li wei ya
BR,巴西,ba xi
BS,巴哈马,ba ha ma
BT,不丹,bu dan
BW,博茨瓦纳,bo ci wa na
BY,白俄罗斯,bai e luo si
BZ,伯利兹,bo li zi
CA,加拿大,jia na da
CD,刚果民主共和国,gang guo min zhu gong he guo
CF,中非共和国,zhong fei gong he guo
CG,刚果共和国,gang guo gong he guo
CH,瑞士,rui shi
CI,科特迪瓦,ke te di wa
CK,库克群岛,ku ke qun dao
CL,智利,zhi li
CM,喀麦隆,ka mai long
CN,中国,zhong guo
CO,哥伦比亚,ge lun bi ya
CR,哥斯达黎加,ge si da li jia
CU,古巴,gu ba
CV,佛得角,fo de jiao
CW,库拉索,ku la suo
CY,塞浦路斯,sai pu lu si
CZ,捷克,jie ke
DE,德国,de guo
DJ,吉布提,ji bu ti
DK,丹麦,dan mai
DM,多米尼克,duo mi ni ke
DO,多米尼加,duo mi ni jia
DZ,阿尔及利亚,a er ji li ya
EC,厄瓜多尔,e gua duo er
EE,爱沙尼亚,ai sha ni ya
EG,埃及,ai ji
EH,西撒哈拉,xi sa ha la
ER,厄立特里亚,e li te li ya
ES,西班牙,xi ban ya
ET,埃塞俄比亚,ai sai e bi ya
FI,芬兰,fen lan
FJ,斐济,fei ji
FK,福克兰群岛,fu ke lan qun dao
FM,密克罗尼西亚联邦,mi ke luo ni xi ya lian bang
FO,法罗群岛,fa luo qun dao
FR,法国,fa guo
GA,加蓬,jia peng
GB,英国,ying guo
GD,格林纳达,ge lin na da
GE,格鲁吉亚,ge lu ji ya
GG,根西,gen xi
GH,加纳,jia na
GL,格陵兰,ge ling lan
GM,冈比亚,gang bi ya
GN,几内亚,ji nei ya
GQ,赤道几内亚,chi dao ji nei ya
GR,希腊,xi la
GS,南乔治亚和南桑威奇群岛,nan qiao zhi ya he nan sang wei qi qun dao
GT,危地马拉,wei di ma la
GU,关岛,guan dao
GW,几内亚比绍,ji nei ya bi shao
GY,圭亚那,gui ya na
HK,中国香港,zhong guo xiang gang
HM,赫德岛和麦克唐纳群岛,he de dao he mai ke tang na qun dao
HN,洪都拉斯,hong du la si
HR,克罗地亚,ke luo di ya
HT,海地,hai di
HU,匈牙利,xiong ya li
ID,印度尼西亚,yin du ni xi ya
IE,爱尔兰,ai er lan
IL,以色列,yi se lie
IM,马恩岛,ma en dao
IN,印度,yin du
IO,英属印度洋领地,ying shu yin du yang ling di
