iso,name,pinyin
CN-AH,安徽,an hui
CN-BJ,北京,bei jing
CN-CQ,重庆,chong qing
CN-FJ,福建,fu jian
CN-GD,广东,guang dong
CN-GS,甘肃,gan su
CN-GX,广西,guang xi
CN-GZ,贵州,gui zhou
CN-HA,河南,he nan
CN-HB,湖北,hu bei
CN-HE,河北,he bei
CN-HI,海南,hai nan
CN-HK,香港,xiang gang
CN-HL,黑龙江,hei long jiang
CN-HN,湖南,hu nan
CN-JL,吉林,ji lin
CN-JS,江苏,jiang su
CN-JX,江西,jiang xi
CN-LN,辽宁,liao ning
CN-MO,澳门,ao men
CN-NM,内蒙古,nei meng gu
CN-NX,宁夏,ning xia
CN-QH,青海,qing hai
CN-SC,四川,si chuan
CN-SD,山东,shan dong
CN-SH,上海,shang hai
CN-SN,陕西,shan xi
CN-SX,山西,shan xi
CN-TJ,天津,tian jin
CN-TW,台湾,tai wan
CN-XJ,新疆,xin jiang
CN-XZ,西藏,xi zang
CN-YN,云南,yun nan
CN-ZJ,浙江,zhe jiang
